name,categories,rating,price,address,phone
The Dabney,"New American, Desserts, Cocktail Bars",4.5,$$$$,"122 Blagden Aly NW, Washington, DC 20001",+12024501015
The Dabney Cellar,"Bars, New American",4.5,,"1222 9th St NW, Washington, DC 20001",+12024501015
Albi,Lebanese,4.5,,"1346 4th St SE, Washington, DC 20003",+12029219592
L'Ardente,Italian,4.5,,"200 Massachusetts Ave NW, Washington, DC 20001",+12024480450
Pineapple & Pearls,New American,4.5,$$$$,"715 8th St SE, Washington, DC 20003",+12025957375
Sushi Nakazawa,"Japanese, Sushi Bars",4.5,$$$$,"1100 Pennsylvania Ave NW, Washington, DC 20004",+12022893515
Sushi Ogawa,"Sushi Bars, Japanese",4.0,$$$$,"2100 Connecticut Ave NW, Washington, DC 20008",+12028139715
Daru,"Cocktail Bars, Indian",4.5,$$,"1451 Maryland Ave NE, Washington, DC 20002",+12023881848
The Duck & The Peach,"Cocktail Bars, Breakfast & Brunch, Coffee & Tea",4.0,,"300 7th St SE, Washington, DC 20003",+12024311913
ANJU,Korean,4.0,$$,"1805 18th St NW, Washington, DC 20009",+12028458935
The Inn at Little Washington,"Hotels, New American",4.5,$$$$,"309 Middle St, Washington, VA 22747",+15406753800
Ellē,"Cafes, Bakeries, Cocktail Bars",4.0,$$,"3221 Mt Pleasant St NW, Washington, DC 20010",+12026520040
Kinship,"New American, Desserts, Diners",4.5,$$$$,"1015 7th St NW, Washington, DC 20001",+12027377700
Convivial,"French, Bars, Breakfast & Brunch",4.0,$$,"801 O St NW, Washington, DC 20001",+12025252870
Fiola Mare,"Seafood, Italian, Bars",4.0,$$$$,"3050 K St NW, Ste 101, Washington, DC 20007",+12025251402
2fifty’s,Barbeque,4.5,,"1309 5th St NE, Washington, DC 20002",
Le Diplomate,"Brasseries, French, Breakfast & Brunch",4.5,$$$,"1601 14th St NW, Washington, DC 20009",+12023323333
All-Purpose Shaw,"Pizza, Italian, Wine Bars",4.0,$$,"1250 9th St NW, Washington, DC 20001",+12028496174
Ama Ami,"Sushi Bars, Japanese",3.5,,"3210 Grace St NW, Washington, DC 20007",+12024226558
Anafre,Mexican,4.5,$$,"3704 14th St NW, Washington, DC 20010",+12027582127
Baan Siam,"Thai, Wine Bars, Beer Bar",4.5,$$,"425 I St NW, Washington, DC 20001",+12025885889
Bar Spero,Seafood,4.0,,"250 Massachusetts Ave NW, Ste 155, Washington, DC 20001",+12025063150
Bresca,"New American, French",4.5,$$$$,"1906 14th St NW, Washington, DC 20009",+12025187926
Centrolina,Italian,4.0,$$$,"974 Palmer Aly, Washington, DC 20268",+12028982426
Chang Chang,Asian Fusion,5.0,,"1200 19th St NW, Washington, DC 20009",+12025700946
Chiko,"Chinese, Korean",4.5,$$,"2029 P St NW, Washington, DC 20036",+12023313040
CHIKO,"Chinese, Korean",4.5,$$,"423 8th St SE, Washington, DC 20003",+12025589934
CHIKO,"Korean, Chinese",4.0,,"1500 S Capitol St SE, Washington, DC 20003",
Chloe,"New American, Modern European",4.5,$$,"1331 4th St SE, Washington, DC 20003",+12023137007
Del Mar,"Spanish, Seafood, Cocktail Bars",4.0,$$$,"791 Wharf St SW, Washington, DC 20024",+12025251402
El Cielo,"Latin American, Seafood",4.0,$$$$,"1280 4th St NE, Washington, DC 20002",+12025699855
El Centro,"Bars, Mexican",3.5,$$,"1218 Wisconsin Ave NW, Washington, DC 20007",+12023334100
Estadio,"Spanish, Tapas/Small Plates",4.0,$$,"1520 14th St NW, Washington, DC 20005",+12023191404
Etto,"Bars, Italian, Pizza",4.0,$$,"1541 14th St NW, Washington, DC 20005",+12022320920
Fiola,Italian,4.0,$$$$,"601 Pennsylvania Ave NW, Washington, DC 20004",+12025251402
Gravitas,New American,4.0,$$$$,"1401 Okie St NE, Washington, DC 20002",+12027637942
Green Almond Pantry,"Mediterranean, Middle Eastern, Vegan",5.0,,"3210 Grace St NW, Washington, DC 20007",+12028686932
Izakaya Seki,"Japanese, Noodles",4.0,$$$,"1117 V St NW, Washington, DC 20009",
Jont,New American,4.5,$$$$,"1904 14th St NW, Fl 2, Washington, DC 20009",+12023877654
La Bise,"French, Venues & Event Spaces",4.5,,"800 Connecticut Ave, Washington, DC 20006",+12024638700
Lapis,"Afghan, Cocktail Bars, Halal",4.5,$$,"1847 Columbia Rd NW, Washington, DC 20009",+12022999630
Little Pearl,New American,4.0,$$$$,"921 Pennsylvania Ave SE, Washington, DC 20003",+12026181868
Lutèce,"French, Bars",4.5,,"1522 Wisconsin Ave, Washington, DC 20007",+12023338830
Makan,Malaysian,4.0,,"3400 11th St NW, Washington, DC 20010",
Maketto,"Cafes, Cambodian, Taiwanese",4.0,$$,"1351 H St NE, Washington, DC 20002",+12028389972
Masseria,"Italian, Cocktail Bars",4.0,$$$$,"1340 4th St NE, Washington, DC 20002",+12026081330
Maydan,"Moroccan, Lebanese",4.5,$$$$,"1346 Florida Ave NW, Washington, DC 20009",
Menya Hosaki,"Ramen, Noodles",4.5,$$,"845 Upshur St NW, Fl 1, Washington, DC 20011",+13018187650
Moon Rabbit,"Vietnamese, Seafood, Cocktail Bars",4.0,,"801 Wharf St SW, Washington, DC 20024",+12028788566
Moon Rabbit,"Vietnamese, Seafood, Cocktail Bars",4.0,,"670 Rhode Island Ave NE, Washington, DC 20002",+12028788566
Nina May,New American,4.5,$$$,"1337 11th St NW, Washington, DC 20001",+12025183609
Mayflower Chinese Food,Chinese,2.0,$,"4427 Wisconsin Ave NW, Washington, DC 20016",+12022448858
Obelisk,Italian,4.0,$$$$,"2029 P St NW, Washington, DC 20036",+12028721180
Oyster Oyster,"Vegetarian, Wine Bars, Pizza",4.5,$$$$,"1440 8th St NW, Washington, DC 20001",
Oyster Oyster,Seafood,4.0,,"1440 8th St NW, Washington, DC 20001",
Rakuya,"Sushi Bars, Bars, Ramen",3.5,$$,"1900 Q St NW, Washington, DC 20009",+12022657258
Raku,"Sushi Bars, Asian Fusion",4.0,$$,"3312 Wisconsin Ave NW, Washington, DC 20016",+12022447258
Rasika,Indian,4.5,$$,"633 D St NW, Washington, DC 20004",+12026371222
Rania,"Wine Bars, Indian, Cocktail Bars",4.5,$$$$,"427 11th St NW, Washington, DC 20004",+12028046434
RASA,"Indian, Halal, Salad",4.5,$$,"485 K St NW, Washington, DC 20001",+12026294329
The Red Hen,"Italian, Desserts, Cocktail Bars",4.5,$$$,"1822 1st St NW, Washington, DC 20001",+12025253021
Reveler’s Hour,"Italian, Pasta Shops, Tapas/Small Plates",4.0,$$$,"1775 Columbia Rd NW, Washington, DC 20009",+12025881616
Rooster & Owl,"New American, Tapas/Small Plates",4.5,$$$$,"2436 14th St NW, Washington, DC 20009",+12029159004
Rumi’s Kitchen,Persian/Iranian,4.5,$$$,"640 L St NW, Washington, DC 20001",+12029009106
St. Anselm,"Steakhouses, New American, Breakfast & Brunch",4.5,$$$,"1250 5th St NE, Washington, DC 20002",+12028642199
Seven Reasons,"Latin American, Cocktail Bars",4.5,$$$,"2208 14th St NW, Washington, DC 20009",+12024178563
Shabu Plus,"Hot Pot, Japanese",3.5,,"2321 18th St NW, Washington, DC 20009",+12024502151
Silver and Sons BBQ,"Food Trucks, Barbeque",4.5,,"Washington, DC 20036",+13013294460
Sura,"Thai, Lounges",4.5,,"2016 P St NW, Ste C1, Washington, DC 20036",
Tail Up Goat,"Cocktail Bars, New American, Italian",4.5,$$$,"1827 Adams Mill Rd NW, Washington, DC 20009",
Ivy City SmokeHouse,"Seafood, Smokehouse, Bars",3.5,$$,"1356 Okie St NE, Washington, DC 20002",+12025293300
Thip Khao,Laotian,4.5,$$,"3462 14th St NW, Washington, DC 20010",+12023875426
Unconventional Diner,"New American, Breakfast & Brunch",4.5,$$,"1207 9th St NW, Washington, DC 20001",+12028470122
